dj	dj || 0
agree	accept,accord,agree,answer,arrange,be,check,conclude,concord,concur,consent,consist,consort,correspond,equal,fit,fit in,gibe,go,go for,grant,harmonise,harmonize,hold,jibe,look,match,meet,pattern,settle,square,subscribe,suit,support,tally,underpin,yield || 0.0
aid	ameliorate,amend,assist^,back up,benefit^,better,ease,help,improve,meliorate,serve,support || 0.329679953964
ail	afflict,hurt,pain,suffer,trouble || -0.864664716763
aim	address,calculate,charge,drive,get,hold,level,place,point,propose,swing,take,target,train,turn || 0.518798830058
air	aerate,air out,bare,beam,broadcast,circulate,dry,dry out,expose,freshen,issue,publicise,publicize,publish,refresh,release,satellite,send,spread,tell,transmit,vent,ventilate || 0
air fly	lift || 0.0
air out	air || 0.0
al dole out	lot || 0.0
alarm	shock,wake || -0.518798830058
alert	wake || 0.928558731104
align	address,adjust,array,coordinate,focus || 0.698805788088
aline	address,adjust,focus || 0.329679953964
allay	ease,relieve,still || 0.0
allege	assert,asseverate,aver,maintain,say || -0.329679953964
alleviate	ease,relieve || 0.0
allocate	allot,apportion,assign,award,portion,present,ration || 0
allot	accord,administer,allocate,allow,assign,deal,deal out,dish out,dispense,distribute,dole out,earmark,give,grant,lot,mete out,parcel out,portion,reserve,shell out || -0.550671035883
allow	accept,admit,afford,allot,allow for,appropriate,assign,authorise,bear,calculate,clear,consent,count on,countenance,digest,discount,earmark,endure,estimate,favor,figure,forecast,give,give up,go for,grant,include,leave,let,pass,permit,portion,provide,reckon,reserve,set aside,stand,suffer,support,take into account,tolerate,trust,yield || 0.172932943353
allow for	allow,leave,provide || 0.0
allow in	repatriate || 0.0
alloy	debase || 0.329679953964
allude	advert,touch || 0
allure	bid,invite,tempt || 0
ally	affiliate,associate,assort,consort || 0
alter	add,adjust,affect,aggravate,better,break,break up,bring,broaden,change,charge,clear,compensate,complicate*,contract,contribute,convert,correct,cry,cut,damage,debase,decrease,delay,depress,devalue*,develop,dinge,disintegrate,dismiss,diversify,draw,drop,dry,dull,enable,end,equal,evaporate,even,exchange,expand,extend,fix,form,full,get,hide,humble,impact,improve,increase,inflate,insulate,jump,land,lend,lift,loose,lower,make,mark,market,match,mature,mix,moderate,move,narrow,neutralise,put,raise,ready,reclaim,recommend,reestablish,relax,restore^,reverse,revolutionize,right,round,rouse,scramble,set,shake,shallow,shift,soften,spike,stabilise,stabilize,steepen,stiffen,still,strengthen,string,subdue,suspend,switch,tame,temper,tender,think,touch,translate,turn,unite^,validate,vary,wake,weaken,widen,worsen* || -0.550671035883
altercate	scrap || 0
alternate	jump,spell,switch,tack || -0.329679953964
amalgamate	combine,compound,concoct,mix || 0.329679953964
amass	accumulate,backlog,catch,collect,compile,conglomerate,cumulate,drift,fund,gather,hive away,hoard,increase,lay in,pile up,put in,roll up,run up,salt away,stack away,stash away,store || 0.60618803114
amaze	beat,get,pose,riddle,stick || -0.550671035883
ambition	desire,want || 0
ameliorate	advance,aid,better,build,bushel,condition,develop,down,enhance,fix,help,improve,lift,raise,recover^,relieve,restore^,surge^ || 0
amend	advance,aid,better,build,bushel,condition,develop,down,enhance,fix,help,improve,lift,raise,relieve,remedy,restore^ || 0
amount	add up,average,be,become,come,make,number,total,turn || 0.698805788088
amplify	blow,blow up,compound,deepen,enlarge,exaggerate,expand,gas,heighten,hyerbolise,hyperbolize,increase,inflate,intensify,magnify,misinform,mislead,overdraw,overstate,pad,tout || 0.0
amuse	divert || 0.329679953964
anaesthetise	block || 0.0
anaesthetize	block || 0.0
analyse	compare,consider,follow,name,review,sift,survey,view || -0.399051741003
analyze	compare,consider,follow,name,review,sift,survey,view || -0.399051741003
anchor	ground || 0.329679953964
anele	oil || 0.329679953964
anesthetise	block || 0.0
anesthetize	block || 0.0
anger	aggravate,steam || -0.550671035883
angle	heel,incline,list,slope,tip,weather,weight || 0
anguish	hurt,pain,try || -0.589010616667
animate	encourage,inspire^,renovate,revive || 0.550671035883
anneal	temper || 0
annihilate	eliminate || 0
annotate	comment || -0.329679953964
announce	advertise,annunciate,cry,declare,denote,foretell,harbinger,herald,identify,inform,name,post,report,say,state,tell || 0
annoy	beset,bother,get,plague,provoke || 0
annul	avoid,break,lift,reverse || 0
annunciate	announce || 0
anoint	oil || 0.329679953964
answer	agree,be,check,correspond,counter,do,figure out,fill,fit,fulfil,fulfill,function,gibe,jibe,lick,live up to,match,meet,puzzle out,react,rebut,refute,repay,reply,resolve,respond,return,satisfy,say,serve,solve,state,suffice,tally,tell,work,work out || 0.698805788088
answer for	account || 0.0
antagonise	counteract || 0
antagonize	counteract || 0
ante up	liquidate,pay || 0.0
antecede	forgo || 0
antedate	forgo || 0
anticipate	act,assume,augur,await,believe,bet,calculate,call,come about,counter,evaluate,expect,fall out,forebode,forecast,foreknow,foresee,forestall,foretell,go on,guess,hap,happen,hazard,judge,know,look,look for,look to,move,occur,pass,pass judgment,pass off,predict,pretend,previse,prognosticate,promise,read,speculate,take place,think,trust,venture,wager,wait || -0.329679953964
apologise	justify || -0.232935262696
apologize	justify || -0.232935262696
appal	shock || -0.798103482005
appall	shock || -0.798103482005
apparel	cover || 0
appeal	advert,attract,bespeak,bring up,call for,catch,challenge,cite,invoke,mention,name,quest,refer,request,take exception,turn || 0.232935262696
appear	appear,be,break,come along,come out,cut,do,emerge,execute,feel,glitter,happen,jump,lift,look,loom,make,manifest,materialise,materialize,occur,perform,pop,rise,seem,show || 0.172932943353
appease	stay || 0.232935262696
append	add,supplement,supply,tack || 0
apply	address,commit,devote,enjoy,exert,extend,follow,give,hold,implement,play,practice,put,recycle,run,share,strain,submit,take,tap,tread,use,utilize,waste,work || 0.172932943353
appoint	authorise,charge,create,empower^,make,name,pack || 0
apportion	allocate,award,deal,present,ration,share || 0.329679953964
appraise	mark,measure,rate,reevaluate,survey,value || 0
appreciate	acknowledge,apprise,apprize,consider,increase,prize,realise,realize,reckon,recognise,recognize,regard,revalue,see,take account,treasure,understand,value,view || 0.808136721897
apprehend	arrest,dig,digest,figure,nab,tumble || 0.0
apprise	appreciate,brief,revalue || 0.798103482005
apprize	appreciate,brief,revalue || 0.798103482005
approach	accost,act,address,approximate,border on,close,come,come close,come near,come on,come up,come up to,draw close,draw near,face,go about,go up,hit,move,near,push,set about || -0.232935262696
appropriate	allow,carry,earmark,reserve || 0.798103482005
approve	authorise,authorize,back,clear,confirm,endorse,evaluate,judge,o.k.,okay,pass,pass judgment,sanction,support || 0.550671035883
approximate	approach,count,estimate,gauge,give,guess,make,place,put,set || 0.329679953964
ar set up	range || 0.0
arbitrate	intermediate || 0
arc	curve || 0
arch	curve || -0.329679953964
archive	collect,file away,pull in || 0
argue	contend,converse,debate,defend,discourse,fence,indicate,lay out,oppose,present,reason,represent,scrap,support || 0
argufy	scrap || 0
arise	ascend,become,bob up,change posture,climb,come,come about,come up,develop,dissent,emerge,fall out,follow,get up,go,go on,go up,grow,hap,happen,head,lift,locomote,mount,move,move up,occur,open,originate,pass,pass off,protest,rebel,resist,rise,rise up,skyrocket,soar,spring up,stand up,steam,surge^,swell,take place,travel,turn out,uprise || 0.998886224852
arouse	bless,brace,bruise,call,draw,hurt,ignite,interest,kindle,overcome,overtake,provoke,raise,renovate,revive,sex,shake,stimulate,stir,tempt,wake,wound || 0.623961526704
arrange	agree,array,bundle,chain,change,coif,coiffe,coiffure,compose,concord,concur,coordinate,do,draw,dress,fix up,format,groom,hold,initiate,lay,neaten,order,organise,organize,pack,pair,pile,pioneer,place,pose,position,put,set,set up,settle,stack,stage,string,wave,write || 0.60618803114
array	align,arrange,lay out,range,set out,set up,stand || 0.329679953964
arrest	apprehend,attract,catch,check,clutch,collar,contain,cop,defend,draw,draw in,get,halt,hold,hold back,nab,nail,pick up,prehend,pull,pull in,seize,stop,turn back || 0.329679953964
arrive	bring home the bacon,come,come through,deliver the goods,get,get in,go far,hit,land,make it,reach,succeed,win || 0
arrive at	access,culminate,find,gain,ground,hit,make,peak,reach,scale,top || 0.0
arrogate	assume || 0
article	bind,hold,obligate,oblige || 0
articulate	ask,click,joint,pronounce,put,raise,roll,round,say,stress,voice,word || 0.329679953964
as sort out	sort || 0.0
ascend	accede,arise,come up,date back,date from,enter,follow,go,go back,go up,incline,lift,locomote,move,move up,pitch,rise,slope,travel,travel along,uprise || 0.864664716763
ascertain	card,control,count,cover,determine,ensure,find,gauge,number,price,see,test,translate,watch || 0.134169991054
ascribe	blame*,charge,credit,project || 0.329679953964
ask	address,articulate,bespeak,call,call for,claim,communicate,cost,demand,draw,enquire,expect,formulate,give voice,imply,inquire,intercommunicate,involve,necessitate,need,phrase,postulate,pry,quest,question,request,require,take,turn to,word || 0.0
asphyxiate	stifle,suffocate || -0.698805788088
assail	abuse,assault,beleaguer,beset,bust,claw,gas,hit,jump,round,rush,set,strike,surprise,surround,torpedo || -0.698805788088
assault	abuse,assail,attack,beset,claw,criticise*,criticize,dishonor,dishonour,jump,knock,lash out,outrage,pick apart,rape,ravish,round,rush,set,set on,snipe,violate || -0.698805788088
assay	adventure,attempt,chance,fight,risk,seek,struggle,try || 0.0
assemble	club,compound,flock,gather,group,make,meet,tack || 0.698805788088
assert	acquit,affirm,allege,asseverate,aver,avow,bear,behave,carry,claim,comport,conduct,declare,deport,hold,insist,maintain,posit,postulate,put forward,say,swan,swear,take,take a firm stand,tell,verify || 0.550671035883
assess	mark,measure,rate,reevaluate,value || 0.550671035883
asseverate	allege,assert,maintain,say || 0
assign	advance,allocate,allot,allow,blame*,break,bump,charge,credit,earmark,place,portion,post,project,promote^,put,raise,reserve,transfer || 0.698805788088
assist^	aid,attend,attend to,back up,ease,help,protect,serve,support,wait on,work || 0.0
associate	affiliate,ally,assort,cerebrate,cogitate,colligate,company,connect,consociate,consort,date,interact,link,link up,mean,relate,remember,see,think,tie in,unify,unite^ || 0
assoil	clear || 0.0
assort	ally,associate,class,company,count,date,group,number,refer,see,size || -0.329679953964
assuage	ease,relieve || -0.172932943353
assume	accept,acquire,act,adopt,anticipate,arrogate,bear,change,dissemble,don,dress,expect,feign,get dressed,get into,invite,move,play,presume,pretend,put on,receive,resume,seize,sham,simulate,strike,take,take for granted,take in,take office,take on,take over,take up,try,usurp,wear || 0.239809449005
assure	card,contract,control,cover,doom,ensure,guarantee,make,pledge,plight,promise,reassure,secure,see,tell || 0.661180168634
asterisk	star || 0
at take care	tend || 0.0
attach	band,befriend^,bell,bind,bond,catch,couple,enter,fix,hinge,introduce,label,link,mark,mount,paste,peg,ring,secure,stick,supplement,tack,tape,tie || -0.329679953964
attach to	rest,rule || 0.0
attack	abuse,assault,beleaguer,beset,bust,claw,gas,hit,jump,round,rush,set,strike,surprise,surround,torpedo || -0.909282046711
attain	access,achieve,average,begin,culminate,find,gain,ground,hit,make,manage,peak,reach,scale,strike,top || 0.232935262696
attempt	act,adventure,assay,chance,essay,fight,initiate,move,pioneer,risk,seek,set about,struggle,try,undertake || 0.0
attend	advert,assist^,hang,look,minister,see,serve || 0.0
attend to	assist^,serve || 0.0
attest	evidence,manifest,reflect || 0.550671035883
attract	appeal,arrest,bring,catch,draw,draw in,force,get,pull,pull in,tug || 0.798103482005
attribute	blame*,charge,credit,project || 0.550671035883
auction	auction off,auctioneer,sell || 0
auction off	auction || 0.0
auctioneer	auction || 0
audition	read || 0
augur	anticipate,auspicate,bespeak,betoken,bode,call,forebode,forecast,foreshadow,foretell,indicate,omen,point,portend,predict,prefigure,presage,prognosticate,promise,signal,threaten* || -0.329679953964
auspicate	augur,forecast,predict,threaten* || 0.0
authenticate	prove || 0
authorise	allow,appoint,approve,authorize,charge,clear,countenance,declare,empower^,let,pass,permit,validate || 0.550671035883
authorize	approve,authorise,clear,declare,empower^,validate || 0.550671035883
avail	help || 0
aver	allege,assert,claim,declare,hold,say,take,tell || 0.0
average	accomplish,achieve,add up,amount,attain,average out,calculate,cipher,come,compute,cypher,figure,number,reach,reckon,total,work out || 0.402509973161
average out	average || 0.0
avert^	avoid,debar,deflect,fend off,forbid,foreclose,forestall,head off,obviate,preclude,prevent,stave off,turn,turn away,ward off || 0.0
aviate	balloon,soar || 0
avoid	abstain,annul,avert^,break,cancel,debar,deflect,desist,dodge,fend off,fiddle,forbid,foreclose,forestall,head off,hedge,invalidate,keep off,miss,nullify,obviate,preclude,prevent,quash,refrain,short-circuit,shun,stave off,strike down,void,ward off || 0.550671035883
avow	assert,claim,declare,hold,take,tell || 0.329679953964
await	anticipate,expect,look,wait || 0
awaken	call,rouse,wake || 0.756525993652
award	allocate,apportion,give,grant,present || 0.232935262696
ax	axe || 0
axe	ax,chop,end,hack,terminate || 0
babble	talk || -0.329679953964
babble out	talk || 0.0
baby- guard	sit || 0.0
back	affirm,approve,back up,bet,bet on,change over,confirm,corroborate,defend,endorse,finance,gage,game,go,guarantee,indorse,lie,locomote,move,o.k.,okay,play,plump for,plunk for,pull,punt,sanction,second,shift,side,stake,strengthen,substantiate,support,sustain,switch,travel,wager || 0.0
back away	retreat,withdraw || 0.0
back hike	pack || 0.0
back out	retreat,withdraw || 0.0
back up	advance,aid,assist^,back,block,boost,encourage,endorse,further,help,promote^,second,shop,sponsor,stuff,support || 0.0
backlog	accumulate,amass,conglomerate,cumulate,gather,pile up || 0
badger	beleaguer || 0
baffle	beat,cross,dash,disappoint,frustrate,get,pose,riddle,ruin*,short-circuit,stick,thwart || -0.60618803114
bail	deliver,empty,fork out,fork over,fork up,free,get in,guarantee,hand over,liberate,loose,release,remove,render,take,take away,turn in,unloose,unloosen,vouch,withdraw || -0.232935262696
bail out	bale out,free,liberate,loose,release,remove,take,take away,unloose,unloosen,withdraw || 0.0
bait	rally,ride || -0.232935262696
balance	account,be,bear,calculate,cancel,carry,compensate,correct,equilibrate,equilibrise,equilibrize,fit,hold,match,offset,poise,trim || 0
bale out	bail out || 0.0
balk	resist || 0
ball over	galvanise,galvanize,shock || 0.0
ball up	blow || 0.0
balloon	aviate,billow,expand,fly,inflate,pilot || -0.329679953964
ballyrag	bully || -0.232935262696
bamboozle	snow || 0.232935262696
ban	banish,blackball,cast out,censor,criminalise,criminalize,disallow,expel,forbid,illegalise,illegalize,interdict,kick out,ostracise,ostracize,outlaw,prohibit,proscribe,shun,throw out,veto || -0.550671035883
band	attach,bind,ring,tie || 0
band together	confederate || 0.0
bandage	bind || 0
bang	be intimate,bed,bonk,close,collide with,copulate,couple,do it,eff,fuck,get it on,get laid,go,have,have a go at it,have intercourse,have it away,have it off,have sex,hit,hump,impinge on,jazz,know,lie with,locomote,love,make love,make out,mate,move,pair,roll in the hay,run into,screw,shut,slam,sleep with,sound,spang,strike,take,travel || 0
bang up	smash || 0.0
banish	ban,bar,blackball,cast out,chase away,dispel,drive away,drive off,drive out,expel,kick out,ostracise,ostracize,relegate,run off,shun,spike,throw out,turn back || -0.550671035883
bank	act,believe,bet,calculate,close in,count,cover,credit,depend,deposit,do work,enclose,give,inclose,look,rely,shut in,swear,tip,transact,trust,work || 0.329679953964
bankrupt	break,ruin*,smash || 0
bar	banish,block,close,spike,stop || 0.550671035883
barber	groom,neaten || 0
bare	air,circulate,issue,publish,release,send,spread,transmit || -0.229496177441
barge in	crash || 0.0
barrack	inspire^ || 0.0
barrel	lay,place,pose,position,put,set || 0
barricade	block,close,stop || 0.329679953964
base	build,displace,do drugs,establish,found,free- drug,ground,move,place,post,send,station || -0.0764987258138
bask	enjoy,lie,relish,savor,savour || -0.329679953964
baste	batter,tack || 0
bat	flutter,lick || -0.329679953964
batten	secure || 0.0
batten down	secure || 0.0
batter	baste,beat,beat up,buffet,change form,change shape,clobber,deform,dinge,knock about,strike,work over || 0
battle	combat,contend,fight,struggle || 0
baulk	resist || 0
bawl out	correct || 0.0
be	accept,account,act,agree,amount,answer,appear,balance,be,beat,begin,belong,buy,come,compare,compose,comprise,consist,constitute,contain,continue,correspond,cost,count,cover,curve,cut,depend,draw,embody,end,enter,equal,exist,extend,face,fall,feel,figure,flow,follow,form,go,hang,head,hold,hurt,incline,lead,lend,linger,live,look,make,make up,match,matter,measure,need,number,occupy,owe,pack,pass,pay,personify,point,pose,present,press,prevail,promise,prove,range,rank,rate,reach,recognize,remain,represent,rest,run,seem,sell,sit,stand,stand for,start,stay,stick,stretch,suffer,suit,supplement,swing,symbolise,symbolize,take,tend,test,threaten*,throw,total,touch,translate,trim,typify,underlie,use up,want,weigh,wind,work || 0.670849955268
be a blow	drift || 0.0
be active	move,rouse || 0.0
be adrift	blow,float || 0.0
be after	hope,plan || 0.0
be born	fall || 0.0
be engender	get || 0.0
be given	incline,run,suffer,tend || 0.0
be intimate	bang,have,know,love,take || 0.0
be turn	come || 0.0
beacon	beam,conduct,direct,guide,lead,shine,take || 0
beak	pick || 0
beam	air,beacon,satellite,send,transmit || 0.719428347016
bean	hit || 0
bear	abide,accept,acquit,act,allow,assert,assume,balance,behave,birth,bring forth,bring in,brook,carry,clear,comport,conduct,confine,contain,countenance,create,crop,deal,deliver,deport,digest,drop,earn,endure,expect,feature,gain,gestate,give birth,have,have a bun in the oven,have got,hold,include,lamb,let,make,move,net,pay,permit,poise,pose,produce,pull in,put up,realise,realize,retain,ring,round,stand,stick out,stomach,submit,suffer,support,surround,take,take in,take over,tolerate,transport,turn out,undergo,wear,yield || 0.569315506448
bear down	charge || 0.0
bear in remember	mind || 0.0
bear on	affect,bother,bull,center,concern,continue,expose,hit,hold,impact,influence,interest,involve,nudge,persist,preserve,process,push,refer,regard,relate,resume,stimulate,strike,subject,sustain,touch,treat,trouble,work || 0.0
bear out	support,underpin || 0.0
bear upon	affect,bother,expose,hit,impact,influence,process,stimulate,strike,subject,touch,treat,trouble,work || 0.0
bear witness	cite,evidence,manifest,prove,show || 0.0
beat	agitate,amaze,baffle,batter,be,beat out,beat up,bedevil,befuddle,best,bewilder,bunk,cheat,chisel,circumvent,commove,confound,confuse,create,crush,defeat,discombobulate,displace,disturb,drum,dumbfound,dump,eliminate,exceed,exhaust,fag,fag out,fatigue,flail,flap,flummox,flutter,forge,form,fox,fuddle,full,get,get the better of,glare,go,gravel,hammer,jade,lick,make,mold,mop up,mould,move,mystify,nonplus,outdo,outfox,outgo,outmatch,outperform,outsmart,outstrip,outwear,outwit,overcome,overreach,paste,perplex,pip,play,pose,pound,pulsate,pulse,puzzle,quiver,raise up,riddle,rip off,rout,sail,scoop,scramble,shake up,shape,shell,slash,soak,sound,stick,stir up,strike,stupefy,surmount,surpass^,throw,thrum,thump,tick,ticktack,ticktock,tire,tire out,trounce,tucker,tucker out,vanquish,vex,wash up,wear,wear down,wear out,wear upon,weary,work,work over || -0.909282046711
beat back	drive || 0.0
beat out	beat,best,eliminate,exceed,lick,mop up,outperform,outstrip,pip,rout,scoop,surpass^ || 0.0
beat up	batter,beat,flail,rally,slash,soak || 0.0
beautify	become,beset,flag,flight,hang,illustrate,stick,suit,trim || 0.698805788088
becalm	steady || 0.329679953964
bechance	happen || 0
becharm	catch,hold,work || 0
beckon	wave || 0.329679953964
becloud	overshadow* || 0
